ID,Album,Enlace,Imagen,Plataforma,Status,Mood,Type
1,Green Linez - Things That Fade,https://greeenlinez.bandcamp.com/album/things-that-fade,https://f4.bcbits.com/img/a0081028153_10.jpg,Bandcamp,Ready,,
2,Sault - 5,https://saultglobal.bandcamp.com/album/5,https://f4.bcbits.com/img/a1929582517_10.jpg,Bandcamp,Ready,,
3,Liquid Liquid - Liquid Liquid,https://open.spotify.com/album/2tyoNVyq6D9dRl3P7lDqG3?si=T8TEmo_2SwCKlsufhLk6wA&dl_branch=1,https://m.media-amazon.com/images/I/61e4nWHZZgL.jpg,Spotify,Ready,Hard work,Album
5,St. Germain - Tourist,https://www.youtube.com/playlist?list=PLW0M5yptNMmrZcRoD2_m_D4zciEWXJCCw,"https://m.media-amazon.com/images/I/71gnDggbP0L._UF894,1000_QL80_.jpg",Youtube,Ready,,
12,Modern Music (Habibi Funk 006),https://habibifunkrecords.bandcamp.com/album/habibi-funk-006-modern-music,https://f4.bcbits.com/img/a3540373338_10.jpg,Bandcamp,Ready,,
13,Giraffage - Too Real,https://giraffage.bandcamp.com/album/too-real,https://f4.bcbits.com/img/a2847445799_10.jpg,Bandcamp,Ready,"Chill, Electronic",Album
109,Giraffage - Comfort,https://giraffage.bandcamp.com/album/comfort,https://f4.bcbits.com/img/a0361893576_10.jpg,Bandcamp,Ready,"Chill, Electronic",Album
110,XXYYXX - XXYYXX,https://xxyyxx.bandcamp.com/album/xxyyxx,https://f4.bcbits.com/img/a1327378404_10.jpg,Bandcamp,,,
11,"Boozoo Bajou - Shimmer, Vol. 2",https://www.youtube.com/watch?v=hfzo-aP_dB8&list=PL7o6kXN61MCtmu-MRVZ9aAZ9I7qNcYG6j,https://blob.cede.ch/catalog/16588000/16588563_1_92.jpg,Youtube,Ready,,
9,Means of Production,https://open.spotify.com/album/7uJheAJQm2URVxFlCxItP7?si=ZIiVOvvRS1Od52pHmcMveg,,,,,
10,Nice Guys Love You (Vol. 1),https://open.spotify.com/album/4eW7jDOFO874ue4vEmf1qL?si=L881lShrTQ2QiLVy0ABsxA,,,,,
18,Saâda Bonaire,https://open.spotify.com/album/7EagYgaagCEoDjOdvhKIjP?si=E56c53A6SxWEW5D8iS_2Pg,,,,,
16,Nothing to Declare,https://open.spotify.com/album/5BFyAw1xCStf9i3RRP0Dnx,,,,,
15,Limousine - Bizarre Bazaar,https://music.businesscasual.biz/album/bizarre-bazaar,,Bandcamp,Ready,,
14,Modern Life,https://open.spotify.com/album/6BPrDIuEcdJUvmZKhB8fxs?si=P76TBrOMTKWkKHuflpSYpw,,,,,
17,We No Be Machine,https://open.spotify.com/album/2KXDWUZQQ0CMxPjfJwWzqo?si=dsboKLfIRhilaVGasbhl3Q,,,,,
21,Down in the Basement - EP,https://open.spotify.com/album/5XkUSIqTmdfclLCl0Gw5fm?si=d1s1PCcmRx-m1v3GtxG9yQ,,,,,
22,Y Su Descarga Internacional,https://open.spotify.com/album/5lCofRvucN41wJestulzNM?si=f-6ExIe4TTGO9IvElMTsTg,,,,,
20,Celestial Mechanix,https://open.spotify.com/album/5ydQkJ0QEoFe7wkpievz6G,,,,,
19,DJ Logic - Project logic,https://www.youtube.com/watch?v=by8iNR8c5hI&list=PL41Nzaa9JYYiRekljMYfTIFNQGFSdU3nS,,Youtube,Ready,Chill,Mix
23,Elevate,https://open.spotify.com/album/6TMViEJ5M4JM372HG4Oqe3?si=Jv_KD7vBTJ2wB1G2nC0MWw,,,,,
26,"Illegal Jazz Vol. 1, by Delfonic & Kapote",https://toytonics.bandcamp.com/album/illegal-jazz-vol-1,,Bandcamp,,,
27,open.spotify.com,https://open.spotify.com/album/6om5wLwMEeQcY1Uwlh7Oel?si=EO9DfOupTLeb3SuwZiAzFQ,,,,,
25,Stretch Armstrong at 214 Mulberry,https://youtu.be/_hYIWAxNTC4,,,,,
24,H.A.N.D. MIX 045 - Mori-Ra by Sound Metaphors,https://soundcloud.com/sound-metaphors/hand-mix-045-mori-ra,,,,,
32,Hermanos Gutiérrez - Eternamente // GREATEST HITS LP // Desert Guitar Magic,https://www.youtube.com/watch?v=9Kg6hSPTWb4,,Youtube,,,
29,WU-TANG KILLA BEES DELUXE MIXTAPE - $TAY-WU: KILLA BEES DOUBLE CASSETTE,https://www.youtube.com/watch?v=tVJx50GMIl4,,Youtube,,,
31,Poolsuite™,https://poolsuite.net/,,,,,
30,Blow Your Headphones,https://open.spotify.com/album/2iITDFv9VGAjLMsIQBzGlh?si=-_Bj_ox3TfOPhs5rGkc_EA,,,,,
28,Dancing Dolphins Mix Series by Lydia Vilas,https://soundcloud.com/lydiavilas/sets/dancing-dolphins,,,,,
37,Compost Broken Beat Selection Vol. 1 - Stargazer - Twisted Grooves Compiled by Eddy Ramich,https://open.spotify.com/album/2Q7ruySHJxBAJHtLeWbHAP?si=Gkkb9nqfQGu5wnho8ikDIw,,,,,
36,The Age of Pleasure,https://open.spotify.com/album/3440hCSfwYXxJcbQ0j3jAJ?si=yBqKU-n8R4a568fAPObwOA,,,,,
35,EELF Collection,https://www.youtube.com/watch?v=okCJGgqnQFI,,Youtube,,,
34,Skeletor Selektor @ruidoblancoradio9511 #022 Calypso | Rocksteady | Reggae,https://www.youtube.com/watch?v=y_wPoObBuOU,,Youtube,,,
33,"Smooth: New Dimensions In Ambient Jungle (1998, Full Album)",https://www.youtube.com/watch?v=y66EUgZBjcg,,Youtube,Ready,"Chill, Electronic",Mix
42,"IMS, Vol. 1 (LP)",https://open.spotify.com/album/1otnUF6fCEDVsbqv9Tiz1q?si=uDQpOEN6Stqb2rGdI921Lw,,,,,
40,Diary Of An Afro Warrior (Expanded Edition),https://open.spotify.com/album/1Kl9PK9QiRu95xERylVZ7K?si=XO_vG9Z_QTqcPOmeoM05Yg&utm_source=native-share-menu,,,,,
38,Mars,https://open.spotify.com/album/2nDD0zQvNFrd8tunmEXOgI?si=bOFlZOJRSTOAtHqbiLDKfA,,,,,
41,Portishead,https://open.spotify.com/album/3G36754KQVLyGuskraEAVA?si=RLiO-uGjTJKZH1vfWVrqjg,,,,,
39,"Sound Ancestors, by Madlib",https://madlib.bandcamp.com/album/sound-ancestors,,Bandcamp,,,
45,Hijo de Tigre,https://open.spotify.com/album/1QpR9x1tMvitsrR48Fd7dB?si=3BHQNWxCQv-Ix0mhuBJkgg,,,,,
43,Down Long Enough,https://open.spotify.com/album/3DLOB7eeD8kgN3hNAr0RxU,,,,,
47,"Doing It in Lagos: Boogie, Pop & Disco in 1980's Nigeria",https://open.spotify.com/album/2HrTsqwGyIXPvEAfZAwSYE?si=tarwwlLWT6i-9HOqZeA1IQ,,,,,
46,Awedny,https://open.spotify.com/album/5sxQOaER4XzPcb4F72PZeM?si=DHp31tTPTJu3X4j1Lc_Wmg,,,,,
44,Nova Tunes 3.8,https://open.spotify.com/album/6m720fldneNVJE999n4vAq?si=f5SnfaRLQFS04Zy2bPEEQA,,,,,
49,En Yay Sah,https://open.spotify.com/album/2vhTb2LEZVPhyQ4HGRSs4B?si=1UURTCrRRne4H_yx5y00Mg,,,,,
